sample_token,scene_token,timestamp,filename,ego_pose_token,calibrated_sensor_token,prev_sample,next_sample
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,1532402927647951,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402927647951.pcd.bin,9d9bf11fb0e144c8b446d54a8a00184f,a183049901c24361a6b0b11b8013137c,,39586f9d59004284a7114a68825e8eec
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,1532402928147847,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402928147847.pcd.bin,4f792c8da81e4cb7aca1790654da1c27,a183049901c24361a6b0b11b8013137c,ca9a282c9e77460f8360f564131a8af5,356d81f38dd9473ba590f39e266f54e5
356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,1532402928698048,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402928698048.pcd.bin,28aaabeb212146a28a511858c09cf20c,a183049901c24361a6b0b11b8013137c,39586f9d59004284a7114a68825e8eec,e0845f5322254dafadbbed75aaa07969
e0845f5322254dafadbbed75aaa07969,cc8c0bf57f984915a77078b10eb33198,1532402929197353,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402929197353.pcd.bin,c4f1a270736445e185379a80c29a5139,a183049901c24361a6b0b11b8013137c,356d81f38dd9473ba590f39e266f54e5,c923fe08b2ff4e27975d2bf30934383b
c923fe08b2ff4e27975d2bf30934383b,cc8c0bf57f984915a77078b10eb33198,1532402929697797,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402929697797.pcd.bin,6a97481174074729a9d0ffa096eaa498,a183049901c24361a6b0b11b8013137c,e0845f5322254dafadbbed75aaa07969,f1e3d9d08f044c439ce86a2d6fcca57b
f1e3d9d08f044c439ce86a2d6fcca57b,cc8c0bf57f984915a77078b10eb33198,1532402930152601,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402930152601.pcd.bin,fca0353274424116948fa1f10be1fc29,a183049901c24361a6b0b11b8013137c,c923fe08b2ff4e27975d2bf30934383b,4f545737bf3347fbbc9af60b0be9a963
4f545737bf3347fbbc9af60b0be9a963,cc8c0bf57f984915a77078b10eb33198,1532402930648325,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402930648325.pcd.bin,bba3bbf8fb5b443d91ce478600ac3b49,a183049901c24361a6b0b11b8013137c,f1e3d9d08f044c439ce86a2d6fcca57b,7626dde27d604ac28a0240bdd54eba7a
7626dde27d604ac28a0240bdd54eba7a,cc8c0bf57f984915a77078b10eb33198,1532402931198511,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402931198511.pcd.bin,6d62c08a571148b69ce69a8fca44b72f,a183049901c24361a6b0b11b8013137c,4f545737bf3347fbbc9af60b0be9a963,be99ffc878b24aca8956bbb4e0f97d0c
be99ffc878b24aca8956bbb4e0f97d0c,cc8c0bf57f984915a77078b10eb33198,1532402931697833,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402931697833.pcd.bin,07963799cc9d4a19bd0d9076e4a00da4,a183049901c24361a6b0b11b8013137c,7626dde27d604ac28a0240bdd54eba7a,9813c23a5f1448b09bb7910fea9baf20
9813c23a5f1448b09bb7910fea9baf20,cc8c0bf57f984915a77078b10eb33198,1532402932197715,datasets/LIDAR_TOP/n015-2018-07-24-11-22-45+0800__LIDAR_TOP__1532402932197715.pcd.bin,6be2618c971046478919fe91a9880bd8,a183049901c24361a6b0b11b8013137c,be99ffc878b24aca8956bbb4e0f97d0c,023c4df2d451409881d8e6ea82f14704
